code;pairCode;name;shortDescription;description;supplier;defaultCategory;categoryText;categoryText2;categoryText3;categoryText4;categoryText5;categoryText6;categoryText7;categoryText8;categoryText9;price;freeShipping;freeBilling;variant:Dĺžka;variant:Farba;variant:Veľkosť;variantVisibility;productVisibility
TP51/BIE;3;Bavlnené tričká;;;TP;Oblečenie > Dámske oblečenie;Oblečenie > Detské oblečenie;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > L;Oblečenie > Pánske oblečenie > XL;Oblečenie > Dámske oblečenie > M;Oblečenie > Dámske oblečenie > L;Oblečenie > Dámske oblečenie > XL;;;23.00;0;0;;Biela;XL;1;visible
TP51/BIE2;3;Bavlnené tričká;;;TP;Oblečenie > Dámske oblečenie;Oblečenie > Detské oblečenie;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > L;Oblečenie > Pánske oblečenie > XL;Oblečenie > Dámske oblečenie > M;Oblečenie > Dámske oblečenie > L;Oblečenie > Dámske oblečenie > XL;;;22.00;0;0;;Biela;XXL;1;visible
TP51/BIE3;3;Bavlnené tričká;;;TP;Oblečenie > Dámske oblečenie;Oblečenie > Detské oblečenie;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > L;Oblečenie > Pánske oblečenie > XL;Oblečenie > Dámske oblečenie > M;Oblečenie > Dámske oblečenie > L;Oblečenie > Dámske oblečenie > XL;;;34.00;0;0;;Biela;L;1;visible
TP51/MOD;3;Bavlnené tričká;;;TP;Oblečenie > Dámske oblečenie;Oblečenie > Detské oblečenie;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > L;Oblečenie > Pánske oblečenie > XL;Oblečenie > Dámske oblečenie > M;Oblečenie > Dámske oblečenie > L;Oblečenie > Dámske oblečenie > XL;;;23.00;0;0;;Modrá;XL;1;visible
TP51/MOD2;3;Bavlnené tričká;;;TP;Oblečenie > Dámske oblečenie;Oblečenie > Detské oblečenie;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > L;Oblečenie > Pánske oblečenie > XL;Oblečenie > Dámske oblečenie > M;Oblečenie > Dámske oblečenie > L;Oblečenie > Dámske oblečenie > XL;;;45.00;0;0;;Modrá;XXL;1;visible
TP51/MOD3;3;Bavlnené tričká;;;TP;Oblečenie > Dámske oblečenie;Oblečenie > Detské oblečenie;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > L;Oblečenie > Pánske oblečenie > XL;Oblečenie > Dámske oblečenie > M;Oblečenie > Dámske oblečenie > L;Oblečenie > Dámske oblečenie > XL;;;55.00;0;0;;Modrá;L;1;visible
NMO54/38;4;Nohavice - Unisex;;;NM;Oblečenie > Pánske oblečenie;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > L;Oblečenie > Pánske oblečenie > XXL;;;;;;;22.00;0;0;;;38;1;visible
NMO54/39;4;Nohavice - Unisex;;;NM;Oblečenie > Pánske oblečenie;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > L;Oblečenie > Pánske oblečenie > XXL;;;;;;;22.00;0;0;;;39;1;visible
NMO54/40;4;Nohavice - Unisex;;;NM;Oblečenie > Pánske oblečenie;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > L;Oblečenie > Pánske oblečenie > XXL;;;;;;;22.00;0;0;;;40;1;visible
NMO54/41;4;Nohavice - Unisex;;;NM;Oblečenie > Pánske oblečenie;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > L;Oblečenie > Pánske oblečenie > XXL;;;;;;;22.00;0;0;;;41;1;visible
NMO54/42;4;Nohavice - Unisex;;;NM;Oblečenie > Pánske oblečenie;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > L;Oblečenie > Pánske oblečenie > XXL;;;;;;;22.00;0;0;;;42;1;visible
809DB20;;Panske oblečenie;;;NEW;Oblečenie > Pánske oblečenie;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > L;Oblečenie > Pánske oblečenie > XL;Oblečenie > Pánske oblečenie > XXL;Oblečenie > Pánske oblečenie > S > Špeciálna veľkosť;;;;;20.00;0;0;;;;;visible
BP60/100;5;Oblečenie pre ženy;;;BP;Oblečenie;Oblečenie;;;;;;;;;890.00;0;0;100;;;1;visible
BP60/200;5;Oblečenie pre ženy;;;BP;Oblečenie;Oblečenie;;;;;;;;;890.00;0;0;200;;;1;visible
BP60/300;5;Oblečenie pre ženy;;;BP;Oblečenie;Oblečenie;;;;;;;;;890.00;0;0;300;;;1;visible
AB319;;Suunto Core Alu Black;Hodinky, ktorých funkcie pravdepodobne nevyužije každý. Sú stvorené do prírody – vedia merať výšku, teplotu, vlhkosť, tlak a mnoho ďalšieho.;<p>Tieto hodinky sú naozaj špecifické. Meranie času je tu totiž až na druhom mieste, čo pochopíte sami, keď vymenujeme základné funkcie - barometer so systémom upozornení na prichádzajúcu búrku, meranie nadmorskej výšky a hĺbky, kompas, čas západu/východu Slnka pre viac než 400 miest Sveta, teplomer apod. To všetko tieto hodinky dokážu. Ak hľadáte pomocníka do prírody, neváhajte.</p>  <ul>  <li>Veľký počet vynikajúcich funkcií</li>  <li>Atraktívny design a rôzné doplnky</li>  <li>Vysoká odolnosť</li> </ul>;AB;Módne doplnky > Hodinky;Módne doplnky > Hodinky;;;;;;;;;32.00;0;0;;;;;visible
VD415;;Fly London Seven;Tieto moderné topánky na bežné chodenie od známeho výrobcu uspokoja každého, kto hľadá spoľahlivú kožennú obuv ponúkajúcu maximálne pohodlie.;<p>Fly London je značka typická tým, že vždy prichádza s pomerne jednoduchým designom, ktorý je ale funkčný a nesmierne spoľahlivý. Modely z rady Seven sú toho jasným dôkazom. Koženné telo, žiadne výrazné prvky, bežné viazanie šnúrok a jednoduchá podrážka sú receptom na topánky, ktoré Vám vydržia naozaj dlho.</p>  <ul>  <li>Celokoženné určené na bežné použitie</li> </ul>;VD;Módne doplnky > Topánky;Módne doplnky > Topánky;;;;;;;;;13.00;0;0;;;;;visible
OP8890;;Maui Jim Ho'okipa Tennessee;Moderné športové okuliare poskytujúce ten najvyšší štandard pre zákazníkov, ktorí vedia, čo chcú. Len ťažko budete hľadať na trhu niečo lepšieho.;"<p>Doslova supermoderné športové okuliare bez obrúčok, ktoré Vám prinášajú ten najväčší komfort v akomkoľvek svetle. Vyvinuté boli priamo na Univerzite v Tennessee vďaka čomu blokujú 100% UV žiarenia a zamedzia 99% odrazov. Naviac sú dodávané s odolným puzdrom a čistiacimi obrúskami, aby ste vždy videli len perfektné farby.</p>

<ul>
	<li>Špička na trhu</li>
	<li>Blokujú 100% UV lúčov</li>
	<li>Púzdro v cene</li>
</ul>";OP;Módne doplnky > Okuliare;Módne doplnky > Okuliare;;;;;;;;;24.00;0;0;;;;;visible
OP23434;;Nike The Next;Bavlnené pánske tričko Nike vytvorené na bežné nosenie s jednoduchým, ale pomerne výrazným designom. Ak hľadáte niečo pohodlné, je tu pre Vás.;"<p>Toto tričko nie je potrebné dlho popisovať. Jedná sa o klasický model Nike na normálne nosenie, každopádne Vás nesklame ani pri športe. Má jednoduchý design s výrazným nápisom ""The Next"" na hrudi, podľa čoho dostalo i názov.</p>";OP;Oblečenie > Pánske oblečenie;Oblečenie > Pánske oblečenie;;;;;;;;;10.40;0;0;;;;;visible
OP92389;;Nike Team Race;Bežecké dámske šortky v takzvanom mužskom prevedení sú ideálne pre každú ženu, ktorá sa chce ako pri tréningu, tak aj preteku cítiť maximálne dobre.;<p>Hlavnou výhodou, vďaka ktorej si väčšina bežkýň tieto kraťasy s mužským designom kupuje, je ich priliehavosť a pružnosť prakticky pri akomkoľvek pohybe. Vďaka moderným technológiám a skúsenostiam výrobcu je prakticky zabránené treniu a pohodlie pri behu je maximálne.</p>  <ul>  <li>92% Nylon, 8% Spandex</li> </ul>;OP;Oblečenie > Dámske oblečenie;Oblečenie > Dámske oblečenie;;;;;;;;;8.00;0;0;;;;;visible
DB34939;;Columbia Squish N’ Stuff;<p>Mäkká a pomerne teplá bunda, ktorá dievčatám umožňuje nosiť u seba množstvo vecí a vyzerať moderne. Maminky potom ocenia štýlové vrecko na chrbte.</p>;"<p>Táto dievčenská bunda od populárnej značky Columbia kombinuje hneď niekoľko materiálov. Na povrchu je 100% nylon, vďaka ktorému je bunda úplne odolná proti dažďu, nečistotám a drobným odreninám. Vnútri je vlna pre maximálne udržanie tepla v zime. Bunda má niekoľko vreciek vrátane vnútorných a na chrbte má špeciálne vrecko pre ""maminky"", kam je možné uložiť čapicu a ďalšie doplnky.</p>
<ul>
<li>Odolný nylonový povrch</li>
<li>Odjímateľná kapuca</li>
<li>Velký počet vreciek i vnútri bundy</li>
</ul>";DO;Oblečenie > Pánske oblečenie;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > L;Oblečenie > Pánske oblečenie > XL;Oblečenie > Pánske oblečenie > XXL;Oblečenie > Pánske oblečenie > S > Špeciálna veľkosť;;;;;123.00;0;0;;;;;visible
NV39489;;Kôš odpadkový Curver FLIPBIN 25l NEW YORK;<p>Odpadkový kôš s motívom New Yorku o objeme 25l. Hodí sa ako do obývacích izieb, tak i napríklad do kuchyne.</p>;<p>Odpadkový kôš s motívom New Yorku o objeme 25l, dva stupne otvorení veka 78° a 100°, rozmer 26 x 47 x 34 cm.</p>;NV;Do domácnosti;Do domácnosti > Do kuchyně;Do domácnosti > Do obýváku;Do domácnosti > Do pracovny;;;;;;;12.40;0;0;;;;;visible
DS99987;;Lampička na knihu - Tiny Tim;<p>Štýlový doplnok, ktorý nielenže zaujme svojím elegantným vzhľadom, ale aj svojou praktickosťou pri každodennom používaní.</p>;<p>Malá ale vždy pripravená. Táto miniatúrna kĺbová lampa vám dodá svetlo vždy tam kde ho najviac potrebujete. Ideálne na čítanie, pri práci a kdekoľvek kde je práve treba trochu viac svetla.</p>;DS;Do domácnosti > Do obýváku;Do domácnosti > Do obýváku;Do domácnosti > Do pracovny;;;;;;;;12.40;0;0;;;;;visible
AO44445;;Test product;;;AO;Oblečenie;Oblečenie;;;;;;;;;25.00;0;0;;;;;hidden
SP78063;;Tričko s nápisom;"<p><meta charset=""utf-8"" /><strong>Lorem Ipsum</strong><span>&nbsp;is simply dummy text of the printing and typesetting industry.</span><span></span></p>";;SP;Oblečenie;Oblečenie;;;;;;;;;500.00;0;0;;;;;visible
